cnpj,bairro,socio_nome
00112042000114,SAO GERARDO,
00145166000104,BENFICA,
00281397000137,MESSEJANA,
00386139000115,BENFICA,
00387542000169,CENTRO,
00387542000240,BOM FUTURO,
00387542000320,MEIRELES,
00411471000192,JARDIM CEARENSE,
00455552000194,PARQUE DOIS IRMAOS,
00580148000142,DIONISIO TORRES,MOACIR DE ALENCAR ARARIPE NETO
00584740000112,ALDEOTA,
00606958000392,BENFICA,
00606958000554,EDSON QUEIROZ,
00708848000170,ALVARO WEYNE,MARIA DE FATIMA DOS SANTOS LOURENCO
00711230000169,CENTRO,
00740391000180,ALDEOTA,
00782501000177,VILA VELHA,
00788866000109,ALDEOTA,
00883000000187,ALDEOTA,
00885629000166,PARREAO,
00933212000121,ALDEOTA,
01185643000110,PARQUELANDIA,RAIANY HERCULANO DE LIMA
01405279000318,ALDEOTA,AMANDA GOMES COSTA DA FONSECA
01569746000183,CAMBEBA,
01645263000110,AEROLANDIA,
01740488000156,AEROLANDIA,
01788784000127,CAMBEBA,CLAUDIO QUIRINO DOS SANTOS SILVA FILHO
01987302000168,DIONISIO TORRES,MARIA NELDA DO VALE
02105099000111,MEIRELES,
02173841000126,AGUA FRIA,ANTONIA EDVANDA LOURENCO DE OLIVEIRA ORCINE
02252411000108,JARDIM AMERICA,
02327063000182,SAO GERARDO,ISMARCELIO SOARES TIMBO
02536025000130,ALDEOTA,
02674936000123,CENTRO,
02674936000204,CIDADE DOS FUNCIONARIOS,
02774323000168,FARIAS BRITO,
02782663000130,CIDADE 2000,
02822927000132,AMADEU FURTADO,
02846271000198,PAPICU,
02970151000106,CENTRO,
03010168000176,JOQUEI CLUBE,
03053409000164,ALDEOTA,EVERARDO FELICIO DE SOUZA
03180587000156,VARJOTA,
03180587000237,SAO GERARDO,
03354609000157,DIONISIO TORRES,IVAN LINHARES CORDEIRO
03465691000197,FATIMA,
03483023000192,ALDEOTA,RENATA RIBEIRO PARENTE
03522093000102,ITAOCA,
03522130000182,JOSE DE ALENCAR,
03628803000183,JOSE BONIFACIO,
03656019000189,ALDEOTA,
03667173000156,MEIRELES,
03754022000135,CIDADE DOS FUNCIONARIOS,JOAO DA SILVA FERREIRA MARINHO
03781084000136,CONJUNTO CEARA,
03857863000178,ENGENHEIRO LUCIANO CAVALCANTE,
03895012000110,PRESIDENTE KENNEDY,
03951264000119,JOSE WALTER,
04027311000103,MEIRELES,ANA MARIA GOMES ANCHIETA
04041509000133,DIONISIO TORRES,
04046583000142,MESSEJANA,
04083589000190,ITAPERI,
04151515000143,HENRIQUE JORGE,
04262104000125,JARDIM DAS OLIVEIRAS,MARIA REGINA DOS SANTOS
04341965000107,MESSEJANA,
04442863000170,CRISTO REDENTOR,
04485896000105,CONJUNTO ESPERANCA,
04568873000156,CENTRO,SAVIA KARYNE MARTINS DE CASTRO
04667816000124,PASSARE,
04730391000150,EDSON QUEIROZ,
04730391000231,PRAIA DO FUTURO,
04730391000312,ALDEOTA,
04761552000173,MESSEJANA,MARIA DO SOCORRO DOS SANTOS CARNEIRO
04991080000145,CAJAZEIRAS,
05004895000156,SAO GERARDO,
05005955000155,MARAPONGA,
05057928000126,ALDEOTA,LINDOMAR MARIA FRANCESCONI
05109621000121,MEIRELES,
05148471000165,MEIRELES,
05285596000137,JARDIM DAS OLIVEIRAS,
05306743000108,ALDEOTA,
05319805000116,GRANJA PORTUGAL,
05361131000118,COCO,
05372161000120,JOAQUIM TAVORA,
05374543000192,CENTRO,
05382070000175,MONTESE,
05388116000163,CENTRO,FLAVIA ALVES DE ALCANTARA
05388116000244,JOAQUIM TAVORA,FLAVIA ALVES DE ALCANTARA
05439889000121,JANGURUSSU,
05445790000132,PASSARE,
05500539000123,ALTO DA BALANCA,
05536081000162,ALDEOTA,
05580586000124,PAPICU,
05619068000177,SALINAS,ERIANNE MEYRE DE MACEDO PETER
05678792000171,ALDEOTA,MARINETE COSTA CASEMIRO GOMES
05776995000109,ALDEOTA,
05777078000130,MEIRELES,IZABEL CRISTINA MOREIRA DE QUEIROZ
05781590000150,EDSON QUEIROZ,
05954646000121,CJ TANCREDO NEVES,
05985762000108,MESSEJANA,
06007174000162,PARANGABA,
06023303000106,ALDEOTA,
06023303000459,MEIRELES,
06075348000124,FATIMA,
06083019000125,ALDEOTA,
06115557000154,MARAPONGA,
06174935000170,EDSON QUEIROZ,SYLVIA ACIOLI PESSOA
06184536000190,COACU,
06237488000151,DIONISIO TORRES,
06309401000104,CONJUNTO CEARA II,
06311437000122,ALDEOTA,SAMIA FERNANDES PEIXOTO DA SILVA
06890496000100,VILA MANOEL SATIRO,
06893257000104,MONTESE,
06925077000159,MONTE CASTELO,
06928868000132,LUCIANO CAVALCANTE,
07085448000102,ALDEOTA,MARIA GOMES BRASIL
07145519000107,JOAQUIM TAVORA,HILMA DO VALE SALES
07210895000138,MONDUBIM,
07268097000167,MONTESE,
07270398000125,ALDEOTA,
07380728000135,MEIRELES,
07392197000109,BOM SUCESSO,
07405742000146,ITAPERI,
